,name,gene_reaction_rule,subunit_mw,subunit_num
PERD_reverse,Erythronate 4-phosphate (4per) dehydrogenase,b2320,41.36765,2
AKGtex_reverse,Alpha-ketoglutarate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ALLTNtex_reverse,Allantoin transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ASNtex_reverse,L-asparagine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ATHRDHr_reverse,L-allo-threonine dehydrogenase,b1539,27.24893,4
LSERDHr_reverse,L-serine dehydrogenase,b1539,27.24893,4
DSERDHr_reverse,D-serine dehydrogenase,b1539,27.24893,4
TYMtex_reverse,Tyramine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
CMPtex_reverse,CMP transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
DUMPtex_reverse,DUMP transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
XMPtex_reverse,XMP transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
3PEPTtex_reverse,LalaDgluMdap (tripeptide) transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ANHGMtex_reverse,GlcNAc-anhMurNAc transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
UDPKAAT_reverse,UDP-4''-ketopentose:UDP-4-amino-4-deoxy-L-arabinose aminotransferase,b2253,41.64985,1
FALDtex_reverse,Formaldehyde transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
MLTP1_reverse,Maltodextrin phosphorylase (maltopentaose),b3417,90.5224,2
CYSDtex_reverse,D-cysteine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
G3PItex_reverse,Glycero-3-phospho-1-inositol transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
G3PGtex_reverse,Glycerophoglycerol transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
G3PEtex_reverse,Glycero-3-phosphoethanolamine transport via diffusion (extracellular to periplasm),b2215 or b0929 or b1377 or b0241,40.36812 or 39.33331 or 41.21985 or 38.922 ,3 or 3 or 1 or 3 
G3PCtex_reverse,Glycero-3-phosphocholine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
DAMPtex_reverse,DAMP transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
DCMPtex_reverse,DCMP transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
DGMPtex_reverse,DGMP transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
DTMPtex_reverse,DTMP transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
GMPtex_reverse,GMP transport via diffusion (extracellular to periplasm),b0929 or b2215 or b0241 or b1377,39.33331 or 40.36812 or 38.922 or 41.21985 ,3 or 3 or 3 or 1 
IMPtex_reverse,IMP transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
UMPtex_reverse,UMP transport via diffusion (extracellular to periplasm),b2215 or b0929 or b1377 or b0241,40.36812 or 39.33331 or 41.21985 or 38.922 ,3 or 3 or 1 or 3 
G1Ptex_reverse,D-glucose 1-phosphate transport via diffusion,b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
SKMtex_reverse,Shikimate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
MNtex_reverse,Manganese (Mn+2) transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
GAL1Ptex_reverse,D-galactose 1-phosphate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
O2Stex_reverse,Superoxide anion transport via diffusion (extracellular to periplasm),b0241 or b1377 or b2215 or b0929,38.922 or 41.21985 or 40.36812 or 39.33331 ,3 or 1 or 3 or 3 
HOMtex_reverse,L-homoserine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
SO2tex_reverse,SO2 transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ACSERtex_reverse,O-Acetyl-L-serine transport via diffusion (extracellular to periplasm),b0241 or b1377 or b2215 or b0929,38.922 or 41.21985 or 40.36812 or 39.33331 ,3 or 1 or 3 or 3 
IPDDI_reverse,Isopentenyl-diphosphate D-isomerase,b2889,20.50826,1
DURADx_reverse,Dihydrouracil dehydrogenase (NAD),b2147 and b2146,45.06883 and 44.32947 ,2 and 2 
ECOAH7_reverse,3-hydroxyacyl-CoA dehydratase (3-hydroxyhexadecanoyl-CoA),b2341 or b3846,77.07221 or 79.59391 ,1 or 2 
LDH_D_reverse,D-lactate dehydrogenase,b1380,36.53479,4
ALAALAtex_reverse,D-alanyl-D-alanine (DalaDala) transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
T2DECAI_reverse,Trans-2-decenoyl-ACP isomerase,b0954,18.96905,2
MALtex_reverse,Malate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
NO3tex_reverse,Nitrate transport via diffusion (extracellular to periplasm),b0929 or b1377 or b0241 or b2215,39.33331 or 41.21985 or 38.922 or 40.36812 ,3 or 1 or 3 or 3 
HEXt2rpp_reverse,"Hexanoate transport via proton symport, reversible (periplasm)",b2223,47.52771,1
CLPNS180pp_reverse,"Cardiolipin synthase (periplasmic, n-C18:0)",b1249 or b0789,54.82233 or 47.63351 ,1 or 1 
CLPNS181pp_reverse,"Cardiolipin synthase (periplasmic, n-C18:1)",b1249 or b0789,54.82233 or 47.63351 ,1 or 1 
CLPNS120pp_reverse,"Cardiolipin synthase (periplasmic, n-C12:0)",b0789 or b1249,47.63351 or 54.82233 ,1 or 1 
CLPNS160pp_reverse,"Cardiolipin synthase (periplasmic, n-C16:0)",b0789 or b1249,47.63351 or 54.82233 ,1 or 1 
CLPNS161pp_reverse,"Cardiolipin synthase (periplasmic, n-C16:1)",b1249 or b0789,54.82233 or 47.63351 ,1 or 1 
HPYRI_reverse,Hydroxypyruvate isomerase,b0508,29.37743,2
GSNtex_reverse,Guanosine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
FORtex_reverse,Formate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
D_LACt2pp_reverse,D-lactate transport via proton symport (periplasm),b3603 or b2975,59.1682 or 58.92016 ,1 or 1 
RIBtex_reverse,Ribose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
THMtex_reverse,Thiamine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
XYLUtex_reverse,L-xylulose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ALLtex_reverse,Allose transport via diffusion (extracellular to periplasm),b1377 or b0929 or b0241 or b2215,41.21985 or 39.33331 or 38.922 or 40.36812 ,1 or 3 or 3 or 3 
34dhpactex_reverse,Dihydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
23DAPPAtex_reverse,"2,3-diaminopropionate transport via diffusion",b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
PHEt2rpp_reverse,L-phenylalanine reversible transport via proton symport (periplasm),b0576 or b0112,50.6773 or 49.69013 ,1 or 1 
GUI2_reverse,Glucuronate isomerase (D-galacturonate),b3092,53.98718,1
GLCtex_copy2_reverse,,b0241 or b0929 or b1377 or b2215,38.922 or 39.33331 or 41.21985 or 40.36812 ,3 or 3 or 1 or 3 
3OAR120_reverse,3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0),b1093,25.56029,4
PPALtex_reverse,Propanal transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
CA2tex_reverse,Calcium (Ca+2) transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
CUtex_reverse,Copper (Cu+1) transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
12PPDRtex_reverse,"(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)",b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
F6Ptex_reverse,Fructose 6-phosphate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
GAMAN6Ptex_reverse,D-glucosamine 6-phosphate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ACONTb_reverse,"Aconitase (half-reaction B, Isocitrate hydro-lyase)",b0118 or b1276,93.49811 or 97.67722 ,2 or 2 
PROGLYtex_reverse,L-Prolinylglycine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
MICITDr_reverse,2-methylisocitrate dehydratase,b0118,93.49811,2
ACONTa_reverse,"Aconitase (half-reaction A, Citrate hydro-lyase)",b0118 or b1276,93.49811 or 97.67722 ,2 or 2 
3OAR140_reverse,3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0),b1093,25.56029,4
3OAR160_reverse,3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0),b1093,25.56029,4
CLPNS140pp_reverse,"Cardiolipin synthase (periplasmic, n-C14:0)",b1249 or b0789,54.82233 or 47.63351 ,1 or 1 
CLPNS141pp_reverse,"Cardiolipin synthase (periplasmic, n-C14:1)",b1249 or b0789,54.82233 or 47.63351 ,1 or 1 
CGLYtex_reverse,L-Cysteinylglycine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
3OAR60_reverse,3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0),b1093,25.56029,4
3OAR80_reverse,3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0),b1093,25.56029,4
GTHOXtex_reverse,Glutathione (ox) transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
3OAR40_reverse,3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0),b1093,25.56029,4
3OAR100_reverse,3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0),b1093,25.56029,4
3OAR180_reverse,3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0),b1093,25.56029,4
GTHRDtex_reverse,Glutathione transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ACOAD7f_reverse,Acyl-CoA dehydrogenase (hexadecanoyl-CoA),b0221,89.22444,1
ACOAD8f_reverse,Acyl-CoA dehydrogenase (octadecanoyl-CoA),b0221,89.22444,1
ACOAD5f_reverse,Acyl-CoA dehydrogenase (dodecanoyl-CoA),b0221,89.22444,1
ACOAD3f_reverse,Acyl-CoA dehydrogenase (octanoyl-CoA),b0221,89.22444,1
ACOAD2f_reverse,Acyl-CoA dehydrogenase (hexanoyl-CoA),b0221,89.22444,1
ACOAD4f_reverse,Acyl-CoA dehydrogenase (decanoyl-CoA),b0221,89.22444,1
ACOAD6f_reverse,Acyl-CoA dehydrogenase (tetradecanoyl-CoA),b0221,89.22444,1
FRULYSE_reverse,Fructoselysine 3-epimerase,b4474,31.16883,8
TUNGStex_reverse,Tungstate transport via diffusion (extracellular to periplasm),b1377 or b0929 or b2215 or b0241,41.21985 or 39.33331 or 40.36812 or 38.922 ,1 or 3 or 3 or 3 
CAt6pp_reverse,Calcium / sodium antiporter (1:1),b3196,34.74061,1
5DGLCNt2rpp_reverse,"5-Dehydro-D-gluconate transport via proton symport, reversible (periplasm)",b4265,46.04129,1
GALCTNLtex_reverse,L-galactonate transport via diffusion (extracellular to periplasm),b0929 or b2215 or b1377 or b0241,39.33331 or 40.36812 or 41.21985 or 38.922 ,3 or 3 or 1 or 3 
MALDtex_reverse,D-Malate transport via diffusion (extracellular to periplasm),b0241 or b1377 or b2215 or b0929,38.922 or 41.21985 or 40.36812 or 39.33331 ,3 or 1 or 3 or 3 
OROTtex_reverse,Orotate transport via diffusion (extracellular to periplasm),b2215 or b1377 or b0929 or b0241,40.36812 or 41.21985 or 39.33331 or 38.922 ,3 or 1 or 3 or 3 
5DGLCNtex_reverse,5-Dehydro-D-gluconate transport via diffusion (extracellular to periplasm),b0929 or b1377 or b0241 or b2215,39.33331 or 41.21985 or 38.922 or 40.36812 ,3 or 1 or 3 or 3 
PPAtex_reverse,Propionate transport via diffusion,b0929 or b0241 or b1377 or b2215,39.33331 or 38.922 or 41.21985 or 40.36812 ,3 or 3 or 1 or 3 
PSCLYStex_reverse,Psicoselysine transporter via diffusion (extracellular),b1377 or b0929 or b2215 or b0241,41.21985 or 39.33331 or 40.36812 or 38.922 ,1 or 3 or 3 or 3 
THYMtex_reverse,Thymine transport via diffusion (extracellular to periplasm),b2215 or b0241 or b1377 or b0929,40.36812 or 38.922 or 41.21985 or 39.33331 ,3 or 3 or 1 or 3 
POR5_reverse,Pyruvate synthase,( b1378 and b0684 ) or ( b1378 and b2895 ),( 128.82445 and 19.73694 ) or ( 128.82445 and 19.70018 ) ,( 1 and 1 ) or ( 1 and 1 ) 
HACD8_reverse,"3-hydroxyacyl-CoA dehydrogenase (3-oxooctadecanoyl-CoA), peroxisomal",b3846 or b2341,79.59391 or 77.07221 ,2 or 1 
CTECOAI8_reverse,3-cis-2-trans-enoyl-CoA isomerase,b3846,79.59391,2
CTECOAI6_reverse,3-cis-2-trans-enoyl-CoA isomerase,b3846,79.59391,2
MINCYCtex_reverse,Minocycline transport via diffusion (extracellular to periplasm),b0929 or b1377 or b0241 or b2215,39.33331 or 41.21985 or 38.922 or 40.36812 ,3 or 1 or 3 or 3 
DOXRBCNtex_reverse,Doxorubicin transport via diffusion (extracellular to periplasm),b1377 or b0929 or b2215 or b0241,41.21985 or 39.33331 or 40.36812 or 38.922 ,1 or 3 or 3 or 3 
REPHACCOAI_reverse,"Ring 1,2-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming)",b1394,28.40461,1
DHNPTE_reverse,Dihydroneopterin epimerase,b3058,13.61953,8
CMtex_reverse,Chloramphenicol transport via diffusion (extracellular to periplasm),b1377 or b2215 or b0929 or b0241,41.21985 or 40.36812 or 39.33331 or 38.922 ,1 or 3 or 3 or 3 
LALALGLUtex_reverse,L-alanyl-L-glutamate transport via diffusion (extracellular to periplasm),b0929 or b1377 or b0241 or b2215,39.33331 or 41.21985 or 38.922 or 40.36812 ,3 or 1 or 3 or 3 
5MTRtex_reverse,5-Methylthio-D-ribose transport via proton diffusion (extracellular to periplasm),b2215 or b1377 or b0929 or b0241,40.36812 or 41.21985 or 39.33331 or 38.922 ,3 or 1 or 3 or 3 
LALADGLUtex_reverse,L-alanyl-D-glutamate transport via diffusion (extracellular to periplasm),b0241 or b2215 or b1377 or b0929,38.922 or 40.36812 or 41.21985 or 39.33331 ,3 or 3 or 1 or 3 
3HPPtex_reverse,3-hydroxypropionate transport via diffusion (extracellular to periplasm),b2215 or b1377 or b0929 or b0241,40.36812 or 41.21985 or 39.33331 or 38.922 ,3 or 1 or 3 or 3 
FUSAtex_reverse,Fusidic acid transport via diffusion (extracellular to periplasm),b1377 or b2215 or b0929 or b0241,41.21985 or 40.36812 or 39.33331 or 38.922 ,1 or 3 or 3 or 3 
QUIN2tex_reverse,Quinate transport via diffusion (extracellular to periplasm),b0241 or b2215 or b1377 or b0929,38.922 or 40.36812 or 41.21985 or 39.33331 ,3 or 3 or 1 or 3 
FORCT_reverse,Formyl-CoA Transferase,b2374,45.82818,2
HADPCOADH3_reverse,3-hydroxyadipyl-CoA dehydrogenase (NAD+),b1395,51.73262,1
ACACT8r_reverse,"Acetyl-CoA acyltransferase (hexadecanoyl-CoA), (r)",b2342 or b3845,46.5305 or 40.8762 ,1 or 2 
CTECOAI7_reverse,3-cis-2-trans-enoyl-CoA isomerase,b3846,79.59391,2
SELtex_reverse,Selenate transport via diffusion (extracellular to periplasm),b2215 or b1377 or b0929 or b0241,40.36812 or 41.21985 or 39.33331 or 38.922 ,3 or 1 or 3 or 3 
MEOHtex_reverse,Methanol transport via diffusion (extracellular to periplasm),b2215 or b0929 or b1377 or b0241,40.36812 or 39.33331 or 41.21985 or 38.922 ,3 or 3 or 1 or 3 
TTRCYCtex_reverse,Tetracycline transport via diffusion (extracellular to periplasm),b1377 or b0929 or b0241 or b2215,41.21985 or 39.33331 or 38.922 or 40.36812 ,1 or 3 or 3 or 3 
DHACOAH_reverse,"2,3-dehydroadipyl-CoA hydratase",b1393,27.23737,1
SLNTtex_reverse,Selenite transport via diffusion (extracellular to periplasm),b2215 or b1377 or b0929 or b0241,40.36812 or 41.21985 or 39.33331 or 38.922 ,3 or 1 or 3 or 3 
ALDD19xr_reverse,"Aldehyde dehydrogenase (phenylacetaldehyde, NAD)",b1385,53.69913,4
VPAMTr_reverse,Valine-pyruvate aminotransferase,b3572,46.71123,1
TARTRDtex_reverse,D-tartrate transport via diffusion (extracellular to periplasm),b0241 or b1377 or b2215 or b0929,38.922 or 41.21985 or 40.36812 or 39.33331 ,3 or 1 or 3 or 3 
BTNtex_reverse,Biotin transport via diffusion (extracellular to periplasm),b0241 or b2215 or b1377 or b0929,38.922 or 40.36812 or 41.21985 or 39.33331 ,3 or 3 or 1 or 3 
PYDXtex_reverse,Pyridoxal transport via diffusion (extracellular),b1377 or b2215 or b0929 or b0241,41.21985 or 40.36812 or 39.33331 or 38.922 ,1 or 3 or 3 or 3 
SUCASPtpp_reverse,Succinate:aspartate antiporter (periplasm),b4123 or b4138 or b0621,47.93526 or 45.75071 or 48.41221 ,1 or 1 or 1 
SUCMALtpp_reverse,Succinate:malate antiporter (periplasm),b4123 or b4138 or b0621,47.93526 or 45.75071 or 48.41221 ,1 or 1 or 1 
PYDXNtex_reverse,Pyridoxine transport via diffusion (extracellular),b1377 or b2215 or b0929 or b0241,41.21985 or 40.36812 or 39.33331 or 38.922 ,1 or 3 or 3 or 3 
PYDAMtex_reverse,Pyridoxamine transport via diffusion (extracellular),b1377 or b2215 or b0929 or b0241,41.21985 or 40.36812 or 39.33331 or 38.922 ,1 or 3 or 3 or 3 
13PPDH2_reverse,"1,3-propanediol dehydrogenase",b3011,42.097,2
SUCTARTtpp_reverse,Succinate:D-tartrate antiporter (periplasm),b4123,47.93526,1
CHTBStex_reverse,Chitobiose transport via diffusion (extracellular to periplasm),b0241 or b0929 or b2215 or b1377 or b0681,38.922 or 39.33331 or 40.36812 or 41.21985 or 52.78 ,3 or 3 or 3 or 1 or 1 
GHBDHx_reverse,Gamma-hydroxybutyrate dehydrogenase (NADH),b3882,31.15814,4
APPLDHr_reverse,Aminopropanol dehydrogenase reversible,b3945,38.7122,8
DHNPA2r_reverse,Dihydroneopterin aldolase reversible,b3058,13.61953,8
CRNDtex_reverse,D-carnitine transport via diffusion (extracellular to periplasm),b0241 or b1377 or b2215 or b0929,38.922 or 41.21985 or 40.36812 or 39.33331 ,3 or 1 or 3 or 3 
NADHXE_reverse,NADHX epimerase,b4167,54.65,1
NADPHXE_reverse,NADPHX epimerase,b4167,54.65,1
DXYLTD_reverse,D-xylonate dehydratase,b0269 or b4297,69.399 or 70.017 ,1 or 1 
2DDARAA_reverse,2-dehydro-3-deoxy-D-arabinonate Aldolase,b4298 or b0268,32.722 or 32.53 ,1 or 4 
